materia,tema,subtema,dificultad,enunciado
Física I,Rotación y dinámica de cuerpo rígido,Cinemática de rotación y momento de inercia,Parcial,Ref. Serway §10 — Un disco de radio 0.3 m y masa 5 kg parte del reposo y acelera angularmente a 2 rad/s².\na) Velocidad angular a t=5 s.\nb) Ángulo girado en ese tiempo.\nc) Aceleración tangencial y centrípeta de un punto en el borde a t=5 s.\nd) Momento de inercia del disco respecto a su centro.
Física I,Rotación y dinámica de cuerpo rígido,Cinemática de rotación y momento de inercia,Final,"Ref. Halliday §10 — Usa integración directa para demostrar que el momento de inercia de:\na) Un cilindro sólido (masa M, radio R) respecto a su eje: I = MR²/2\nb) Una esfera sólida (masa M, radio R) respecto a un diámetro: I = 2MR²/5\nUsa el teorema de los ejes paralelos para encontrar I de la esfera respecto a una tangente."
Física I,Rotación y dinámica de cuerpo rígido,Dinámica rotacional y rodamiento,Final,"Ref. Serway §10 — Una esfera sólida de masa M y radio R rueda sin resbalar por un plano inclinado (θ=30°) desde el reposo.\na) Aceleración del CM usando Newton rotacional.\nb) ¿Cuál es la fricción necesaria? ¿Qué μ mínimo se requiere?\nc) Si el mismo plano tiene μ<μ_min, ¿cómo cambia la situación?"
Física I,Rotación y dinámica de cuerpo rígido,Dinámica rotacional y rodamiento,Avanzado,"Ref. Halliday §11 — Un yo-yo (disco de masa M, radio R, eje de radio r) se suelta desde el reposo con la cuerda fija en la parte superior.\na) Aceleración del CM.\nb) Tensión en la cuerda.\nc) Condición para que el yo-yo ruede sin resbalar si hay una superficie.\nd) Comparar con un bloque de masa M en caída libre: ¿cuál llega antes?"
Física I,Oscilaciones y gravitación,Movimiento armónico simple,Parcial,"Ref. Serway §15 — Un bloque de 0.500 kg en un resorte (k=20 N/m) oscila con amplitud A=3 cm.\na) Frecuencia angular ω, frecuencia f y período T.\nb) Energía total del sistema.\nc) Rapidez máxima y en x=A/2.\nd) Aceleración máxima."
Física I,Oscilaciones y gravitación,Movimiento armónico simple,Final,"Ref. Halliday §15 — Demuestra que para un péndulo físico (cuerpo rígido oscilando alrededor de un eje a distancia d del CM, momento de inercia I):\n  T = 2π√(I/mgd)\n\nAplícalo a una varilla uniforme de longitud L oscilando desde un extremo.\nCompara T con el de un péndulo simple de la misma longitud."
Física I,Oscilaciones y gravitación,Movimiento armónico simple,Avanzado,"Ref. Halliday §15 — Un oscilador amortiguado tiene m=1 kg, k=100 N/m, b=2 N·s/m.\na) Verifica que está subamortiguado (b < 2√(mk)).\nb) Escribe x(t) con x(0)=A, v(0)=0.\nc) Calcula el tiempo τ en que la amplitud cae a A/e.\nd) Factor de calidad Q = ω₀/γ.\ne) ¿Cuántas oscilaciones caben en el tiempo de decaimiento?"
Física I,Oscilaciones y gravitación,Gravitación universal,Final,"Ref. Serway §13 — Deduce la velocidad orbital y el período de un satélite circular de masa m en órbita a radio r de un planeta de masa M.\nAplica a la ISS (r ≈ 6770 km desde el centro terrestre): calcula v, T y la aceleración gravitacional experimentada."
Física I,Oscilaciones y gravitación,Gravitación universal,Avanzado,"Ref. Halliday §13 — Prueba la 3ª Ley de Kepler T² ∝ a³ para órbitas elípticas.\nPista: usa la conservación de L = m·r×v, el área de la elipse = πab, y la velocidad de barrido dA/dt = L/(2m).\nExpresa T en función de los semiejes a y b, y muestra que b desaparece usando la relación de la elipse con el foco."
Física II,Electrostática,Ley de Coulomb y campo eléctrico,Parcial,"Ref. Halliday §21 — Tres cargas colineales: q₁=+4 μC en x=0, q₂=-6 μC en x=0.3 m, q₃=+2 μC en x=0.5 m.\na) Fuerza neta sobre q₂ (magnitud y dirección).\nb) Fuerza neta sobre q₃.\nc) ¿En qué punto del eje x (fuera de las cargas) el campo eléctrico es cero?"
Física II,Electrostática,Ley de Coulomb y campo eléctrico,Final,Ref. Serway §23 — Un anillo delgado de radio R tiene carga total Q distribuida uniformemente.\nDemuestra que el campo eléctrico en el eje del anillo es:\n  E(x) = kQx / (x² + R²)^(3/2)\n\nEncuentra el punto del eje donde E es máximo y su valor.
Física II,Electrostática,Ley de Coulomb y campo eléctrico,Avanzado,Ref. Halliday §22 — Un disco de radio R tiene densidad superficial de carga σ uniforme.\na) Integra para encontrar E en el eje: E = (σ/2ε₀)[1 - x/√(x²+R²)]\nb) Verifica los casos límite: x→0 (plano infinito) y x>>R (carga puntual).\nc) Halla la fuerza sobre un dipolo eléctrico p⃗ = pî ubicado en el eje a distancia x.
Física II,Electrostática,Ley de Gauss,Final,"Ref. Serway §24 — Usa la Ley de Gauss para encontrar E en todas las regiones de un cascarón esférico conductor de radios a y b, con carga Q.\nLuego añade una carga puntual -Q en el centro: rehace el análisis y calcula la densidad superficial de carga en cada superficie."
Física II,Electrostática,Ley de Gauss,Avanzado,Ref. Halliday §23 — Una esfera no conductora de radio R tiene densidad volumétrica de carga ρ(r) = ρ₀(1 - r/R).\na) Carga total Q en la esfera.\nb) E(r) para r<R y r>R usando Gauss.\nc) ¿En qué valor de r es E máximo interior?
Física II,Electrostática,Potencial eléctrico,Final,"Ref. Serway §25 — Dos cargas +Q y -Q están en x=+d y x=-d respectivamente (dipolo).\na) Potencial V(x,y) en cualquier punto (aproximación exacta, no dipolar).\nb) Demuestra que para r>>d, V ≈ k·p·cos θ/r² (potencial dipolar).\nc) Calcula E⃗ a partir del gradiente de V en el límite dipolar."
Física II,Electrostática,Potencial eléctrico,Avanzado,Ref. Halliday §24 — La ecuación de Laplace ∇²V=0 en simetría esférica es (1/r²)d/dr(r²dV/dr)=0.\na) Resuelve para V(r) y muestra que V = A/r + B.\nb) Un conductor esférico de radio R tiene potencial V₀. Encuentra V(r) para r>R.\nc) Encuentra la carga inducida en un segundo cascarón de radio R₂ concéntrico puesto a tierra.
Física II,Corriente eléctrica y circuitos,"Resistencia, potencia y ley de Ohm",Parcial,Ref. Serway §27 — Un conductor cilíndrico de cobre (ρ=1.7×10⁻⁸ Ω·m) de longitud 2 m y diámetro 1 mm.\na) Resistencia.\nb) Corriente cuando se aplican 5 V.\nc) Densidad de corriente J y campo E dentro.\nd) Potencia disipada y energía en 1 hora.
Física II,Corriente eléctrica y circuitos,"Resistencia, potencia y ley de Ohm",Final,"Ref. Halliday §26 — El filamento de un foco de 100 W (tungsteno, ρ₀=5.6×10⁻⁸ Ω·m a 20°C, α=4.5×10⁻³/°C) opera a 120 V.\na) Resistencia en caliente.\nb) Si la temperatura de operación es 2900°C, encuentra ρ en caliente.\nc) ¿Cuánto más grueso/delgado debe ser el filamento frío para que la resistencia fría arranque la corriente correcta?"
Física II,Corriente eléctrica y circuitos,Leyes de Kirchhoff y análisis de circuitos,Final,"Ref. Serway §28 — Circuito con dos mallas:\n  Malla 1: ε₁=12V, R₁=4Ω, R₃=6Ω\n  Malla 2: ε₂=8V, R₂=3Ω, R₃=6Ω (compartida)\nAplica las leyes de Kirchhoff para encontrar las tres corrientes y verifica la conservación de energía."
Física II,Corriente eléctrica y circuitos,Leyes de Kirchhoff y análisis de circuitos,Avanzado,"Ref. Halliday §27 — Circuito de puente de Wheatstone: R₁, R₂, R₃, R₄ en cuatro brazos y galvanómetro G en la diagonal.\na) Demuestra que la condición de equilibrio es R₁/R₂ = R₃/R₄.\nb) Si R₁=100Ω, R₂=200Ω, R₃=150Ω y R₄=desconocida, ¿cuál es R₄ en equilibrio?\nc) Fuera del equilibrio, usa superposición o nodos para encontrar la corriente por G."
Física II,Corriente eléctrica y circuitos,Circuitos RC,Final,"Ref. Serway §28 — Un capacitor C=100 μF se carga a través de R=10 kΩ con ε=50 V.\na) Corriente y voltaje en el capacitor como función del tiempo.\nb) Tiempo τ (constante de tiempo).\nc) Carga acumulada en t=τ, 2τ, 5τ.\nd) Energía almacenada y disipada en el estado estacionario. ¿Cómo se comparan?"
Física II,Corriente eléctrica y circuitos,Circuitos RC,Avanzado,Ref. Halliday §27 — Circuito RC con fuente alterna V(t) = V₀·cos(ωt).\na) Encuentra la solución de estado estacionario para la carga q(t).\nb) Amplitud y desfase de q respecto a V.\nc) Impedancia del circuito.\nd) Potencia promedio disipada en R.
Física II,Magnetismo y electrodinámica,Fuerza magnética y movimiento de cargas,Parcial,"Ref. Halliday §28 — Un protón (q=1.6×10⁻¹⁹ C, m=1.67×10⁻²⁷ kg) entra con v=3×10⁶ m/s al campo B=0.5T (⊙).\na) Radio de la trayectoria circular.\nb) Período y frecuencia ciclotrónica.\nc) Si el protón tiene también componente vz=10⁶ m/s paralela a B, describe la trayectoria 3D."
Física II,Magnetismo y electrodinámica,Fuerza magnética y movimiento de cargas,Final,"Ref. Serway §29 — Un selector de velocidades usa E⃗ y B⃗ perpendiculares.\na) Condición v = E/B para que la partícula pase en línea recta.\nb) Pasada la ranura, la partícula entra en B' = 0.4 T y describe un semicírculo de 25 cm de radio. Masa de la partícula si q=e.\nc) Si hay dos isótopos de masas m y m+Δm, ¿cuánto se separan en el detector?"
Física II,Magnetismo y electrodinámica,Fuerza magnética y movimiento de cargas,Avanzado,"Ref. Halliday §28 — El efecto Hall: una lámina conductora (ancho a, grosor b) conduce corriente I en el campo B⊥.\na) Deriva la tensión Hall V_H = IB/(nqb) donde n es la densidad de portadores.\nb) Un semiconductor tiene V_H = 40 mV, I=2 mA, B=0.1 T, b=1 mm. Calcula n.\nc) ¿Cómo distingues si los portadores son electrones o huecos?"
Física II,Magnetismo y electrodinámica,Campo magnético y ley de Ampère,Final,"Ref. Halliday §29 — Usa la Ley de Ampère para encontrar B en todas las regiones de un cable coaxial: conductor interior (radio a) con corriente I, cascarón exterior (radios b a c) con corriente -I.\nGrafica B(r) para 0 < r < 2c."
Física II,Magnetismo y electrodinámica,Campo magnético y ley de Ampère,Avanzado,"Ref. Serway §30 — Una bobina toroidal de N vueltas, sección rectangular (a×b), radios interior R₁ y exterior R₂, lleva corriente I.\na) B(r) dentro del toroide usando Ampère.\nb) Flujo total Φ a través de la sección transversal.\nc) Inductancia propia L.\nd) Energía almacenada si I=2 A."
Física II,Magnetismo y electrodinámica,Inducción electromagnética,Final,"Ref. Serway §31 — Una varilla conductora de longitud L=0.6 m se mueve a v=4 m/s sobre rieles separados L en presencia de B=0.8 T perpendicular al plano.\na) FEM inducida.\nb) Si los rieles están cerrados con R=2Ω, corriente inducida y potencia disipada.\nc) Fuerza necesaria para mantener v=cte.\nd) ¿Se conserva la energía? Verifica."
Física II,Magnetismo y electrodinámica,Inducción electromagnética,Avanzado,Ref. Halliday §30 — Demuestra la paradoja del disco de Faraday:\nUn disco conductor sólido de radio R gira con ω en B uniforme paralelo al eje.\nLa FEM entre el centro y el borde es ε = ½ωBR².\na) Deriva esto usando F = qv×B en un elemento del disco.\nb) ¿Por qué la Ley de Faraday convencional (ε=-dΦ/dt) falla aquí?\nc) ¿Cómo se resuelve la paradoja?
Física II,Ondas electromagnéticas y óptica,Ondas EM y ecuaciones de Maxwell,Final,"Ref. Halliday §33 — A partir de las ecuaciones de Maxwell en el vacío, deriva la ecuación de onda para E⃗.\nMuestra que la velocidad de propagación es c = 1/√(ε₀μ₀).\nCalcula c y compárala con el valor medido."
Física II,Ondas electromagnéticas y óptica,Ondas EM y ecuaciones de Maxwell,Avanzado,Ref. Serway §34 — La intensidad promedio de una onda EM plana es I = E₀²/(2μ₀c).\na) Deriva esta expresión a partir del vector de Poynting S⃗ = (1/μ₀)E⃗×B⃗.\nb) Un láser emite 1 mW en un haz de 1 mm de diámetro. Calcula E₀ y B₀.\nc) Calcula la presión de radiación sobre una superficie perfectamente absorbente.
Física II,Ondas electromagnéticas y óptica,Óptica geométrica,Final,"Ref. Serway §36 — Una lente convergente de f=+20 cm tiene un objeto a 30 cm.\na) Posición y carácter de la imagen (ecuación del lente).\nb) Ampliación lateral.\nc) Repite para objeto a 10 cm.\nd) Sistema de dos lentes (f₁=20cm, f₂=-10cm) separadas 30 cm con objeto a 40 cm de L₁: posición final de la imagen."
Física II,Ondas electromagnéticas y óptica,Óptica geométrica,Avanzado,"Ref. Halliday §34 — Ángulo de Brewster y reflexión total interna:\na) Demuestra que el ángulo de Brewster satisface tan θ_B = n₂/n₁.\nb) Para vidrio n=1.52 en aire, calcula θ_B y el ángulo crítico θ_c.\nc) Un rayo pasa del vidrio al aire con ángulo de incidencia θ_B. ¿Qué ocurre con el rayo reflejado?"
Física II,Ondas electromagnéticas y óptica,Interferencia y difracción,Final,"Ref. Serway §37 — Doble rendija de Young: λ=600 nm, d=0.5 mm, L=2 m.\na) Posición de los 3 primeros máximos y 3 primeros mínimos.\nb) Separación franja brillante Δy.\nc) Si se sumerge todo en agua (n=1.33), ¿cómo cambia el patrón?"
Física II,Ondas electromagnéticas y óptica,Interferencia y difracción,Avanzado,"Ref. Halliday §36 — Rendija simple de ancho a:\na) Demuestra que los mínimos ocurren en sin θ = mλ/a (m=±1,±2,...)\n   usando la división en N pares de fuentes.\nb) ¿Cuál es el límite de resolución de Rayleigh para un telescopio de apertura D?\nc) El telescopio Hubble tiene D=2.4 m. ¿Puede resolver dos estrellas separadas 0.05 arcseg con λ=500 nm?"
Física Moderna,Relatividad especial,Dilatación del tiempo y contracción de longitud,Parcial,Ref. Serway §39 — Una nave viaja a v = 0.80c relativo a la Tierra.\na) El piloto mide que el viaje dura 10 años. ¿Cuánto dura en la Tierra?\nb) El piloto mide que la distancia al destino es 8 años-luz. ¿Qué distancia mide la Tierra?\nc) ¿Son consistentes los resultados con la velocidad v = 0.80c?
Física Moderna,Relatividad especial,Dilatación del tiempo y contracción de longitud,Final,Ref. Halliday §37 — Un muón (τ₀ = 2.2 μs en reposo) se crea a 10 km de altitud y viaja a v = 0.998c hacia la Tierra.\na) Vida media del muón en el marco de la Tierra.\nb) Distancia recorrida antes de desintegrar (en marco Tierra y en marco muón).\nc) ¿Por qué los muones llegan al suelo si clásicamente no deberían?
Física Moderna,Relatividad especial,Dilatación del tiempo y contracción de longitud,Avanzado,Ref. Halliday §37 — La paradoja de los gemelos:\nEl gemelo A viaja a α-Centauri (4 años-luz) a v=0.90c y regresa.\na) Tiempo de viaje en el marco terrestre.\nb) Tiempo en el marco del gemelo A.\nc) ¿Cuántos años más joven es A al regresar?\nd) Explica físicamente por qué la situación NO es simétrica entre los gemelos.
Física Moderna,Relatividad especial,Energía y momento relativistas,Final,Ref. Serway §39 — Un protón (m_p = 938.3 MeV/c²) se acelera a v = 0.995c.\na) Factor γ de Lorentz.\nb) Energía cinética relativista y compárala con la clásica ½mv².\nc) Momento relativista.\nd) Verifica: E² = (pc)² + (m₀c²)²
Física Moderna,Relatividad especial,Energía y momento relativistas,Avanzado,"Ref. Halliday §37 — En un acelerador, dos protones colisionan de frente cada uno con energía E_k = 2 GeV.\na) Energía total y momento en el marco del laboratorio.\nb) Masa invariante del sistema (s = invariante de Mandelstam).\nc) ¿Qué masa máxima de partículas puede producirse en esta colisión?\nd) Compara con el umbral de una colisión blanco fijo con la misma energía de haz."
Física Moderna,Cuántica introductoria,Efecto fotoeléctrico y dualidad onda-partícula,Parcial,"Ref. Serway §40 — La función de trabajo del sodio es φ = 2.28 eV.\na) Frecuencia mínima para el efecto fotoeléctrico.\nb) Si λ = 200 nm, calcula la energía cinética máxima de los fotoelectrones.\nc) Potencial de frenado.\nd) Velocidad máxima de los electrones emitidos."
Física Moderna,Cuántica introductoria,Efecto fotoeléctrico y dualidad onda-partícula,Final,Ref. Halliday §38 — Efecto Compton: Un fotón de λ = 0.0300 nm choca con un electrón en reposo y se dispersa a 45°.\na) Nueva longitud de onda del fotón.\nb) Energía cinética del electrón de retroceso.\nc) Dirección del electrón de retroceso.
Física Moderna,Cuántica introductoria,Efecto fotoeléctrico y dualidad onda-partícula,Avanzado,Ref. Halliday §38 — Principio de incertidumbre de Heisenberg:\na) Un electrón está confinado en una caja de ancho L = 0.1 nm (escala atómica).\n   Estima la incertidumbre en su velocidad.\nb) Un macrobjeto de 1 g está confinado en 1 cm. Estima la incertidumbre en v.\nc) ¿Por qué el principio de incertidumbre no afecta objetos macroscópicos?\nd) Usa ΔE·Δt ≥ ℏ/2 para estimar el ancho espectral de un nivel atómico con τ = 10 ns.
Física Moderna,Cuántica introductoria,Átomo de hidrógeno y cuantización,Parcial,"Ref. Serway §42 — Modelo de Bohr del hidrógeno:\na) Radios de Bohr para n=1,2,3.\nb) Energías de los niveles n=1,2,3 (en eV).\nc) Longitudes de onda de las transiciones Lyman (→n=1) y Balmer (→n=2) para n=2,3,4."
Física Moderna,Cuántica introductoria,Átomo de hidrógeno y cuantización,Avanzado,"Ref. Halliday §40 — Pozo de potencial infinito 1D de ancho L:\na) Resuelve la ecuación de Schrödinger y obtén ψₙ(x) y Eₙ.\nb) Verifica la normalización ∫|ψₙ|²dx = 1.\nc) Calcula ⟨x⟩, ⟨x²⟩, ⟨p⟩, ⟨p²⟩ para el estado n.\nd) Verifica la relación de incertidumbre ΔxΔp ≥ ℏ/2."
Álgebra Lineal,Espacios vectoriales y transformaciones,Dependencia lineal y bases,Parcial,"Determina si los vectores v₁=(1,2,3), v₂=(2,5,7), v₃=(1,3,5) son L.I. o L.D.\nSi son L.D., expresa uno como combinación lineal de los otros.\nUsa reducción por filas (Gauss-Jordan)."
Álgebra Lineal,Espacios vectoriales y transformaciones,Dependencia lineal y bases,Final,"Sea W = {(x,y,z) ∈ ℝ³ : 2x - y + 3z = 0}.\na) Demuestra que W es subespacio de ℝ³.\nb) Encuentra una base para W.\nc) dim(W) = ? ¿Cuál es el complemento ortogonal W⊥?"
Álgebra Lineal,Espacios vectoriales y transformaciones,Dependencia lineal y bases,Avanzado,"Sea T: ℝ³ → ℝ³ la transformación lineal con matriz:\n  A = [[1,2,3],[0,1,4],[0,0,1]]\na) Encuentra Ker(T) y Im(T).\nb) Verifica el teorema dimensión-rango: dim(Ker) + dim(Im) = 3.\nc) ¿Es T inyectiva? ¿Sobreyectiva? ¿Invertible?\nd) Si lo es, calcula A⁻¹."
Álgebra Lineal,Espacios vectoriales y transformaciones,Valores y vectores propios,Final,"Para A = [[4,1],[2,3]]:\na) Calcula los valores propios.\nb) Encuentra los vectores propios correspondientes.\nc) Diagonaliza A: escribe A = PDP⁻¹.\nd) Calcula A⁸ usando la diagonalización."
Álgebra Lineal,Espacios vectoriales y transformaciones,Valores y vectores propios,Avanzado,"Para la matriz simétrica A = [[2,1,1],[1,2,1],[1,1,2]]:\na) Encuentra todos los valores propios.\nb) Ortogonaliza los vectores propios (Gram-Schmidt si es necesario).\nc) Escribe la descomposición espectral A = QΛQᵀ.\nd) ¿Es A positiva definida? Justifica con los criterios de Sylvester."
Álgebra Lineal,Sistemas lineales y factorizaciones,Eliminación gaussiana y LU,Final,"Factoriza A = [[2,4,-2],[1,3,1],[3,7,0]] en A = LU (sin pivoteo).\nLuego usa la factorización para resolver Ax = b con b = (2,1,5)."
Álgebra Lineal,Sistemas lineales y factorizaciones,Eliminación gaussiana y LU,Avanzado,"Dada A ∈ ℝ^(m×n) con m > n (sistema sobredeterminado), el sistema Ax=b generalmente no tiene solución exacta.\na) Define el problema de mínimos cuadrados: minimizar ||Ax - b||².\nb) Deriva las ecuaciones normales: AᵀAx = Aᵀb.\nc) Para A=[[1,1],[1,2],[1,3]], b=(1,2,2), resuelve las ecuaciones normales.\nd) Interpreta geométricamente: ¿qué representa la solución?"
Cálculo Diferencial e Integral,Límites,Límites trigonométricos,Parcial,Calcula sin usar L'Hôpital:\n  lim(x→0)  sin(5x) / (3x)\n\nHint: usa el límite fundamental lim(u→0) sin(u)/u = 1.
Cálculo Diferencial e Integral,Límites,Límites trigonométricos,Parcial,Evalúa:\n  lim(x→0)  (1 - cos x) / x²\n\nMultiplica por (1+cos x)/(1+cos x) y usa el límite fundamental del seno.
Cálculo Diferencial e Integral,Límites,Límites trigonométricos,Final,Calcula:\n  lim(x→0)  tan(3x) / sin(5x)\n\nExpresa tan(3x) = sin(3x)/cos(3x) y manipula para usar los límites fundamentales.
Cálculo Diferencial e Integral,Límites,Límites trigonométricos,Final,Evalúa el límite:\n  lim(x→π/2)  (1 - sin x) / (π/2 - x)²\n\nHaz el cambio t = π/2 - x y reduce a un límite trigonométrico conocido.
Cálculo Diferencial e Integral,Límites,Límites trigonométricos,Avanzado,Demuestra desde la definición (ε-δ) que:\n  lim(x→0)  x·sin(1/x) = 0\n\nObserva que |x·sin(1/x)| ≤ |x| para todo x ≠ 0 y úsalo en la demostración.
Cálculo Diferencial e Integral,Límites,Límites con indeterminaciones exponenciales,Final,Calcula la forma indeterminada 1^∞:\n  lim(x→0)  (cos x)^(1/x²)\n\nEscribe como e^[lim (1/x²)·ln(cos x)] y usa L'Hôpital o equivalentes.
Cálculo Diferencial e Integral,Límites,Límites con indeterminaciones exponenciales,Final,Evalúa:\n  lim(x→∞)  (1 + 3/x)^(2x)\n\nEscribe como [(1+3/x)^(x/3)]^6 e identifica la definición del número e.
Cálculo Diferencial e Integral,Límites,Límites con indeterminaciones exponenciales,Avanzado,"Calcula la forma 0⁰:\n  lim(x→0⁺)  (sin x)^(tan x)\n\nToma logaritmo, aplica L'Hôpital al exponente y exponencia el resultado."
Cálculo Diferencial e Integral,Derivadas,Diferenciación logarítmica,Parcial,"Deriva usando logaritmos:\n  f(x) = (3x+1)²·√(x²+5) / (x³-2)⁴\n\nToma ln de ambos lados, deriva implícitamente, y despeja f'(x)."
Cálculo Diferencial e Integral,Derivadas,Diferenciación logarítmica,Final,"Encuentra f'(x) si:\n  f(x) = x^(ln x)\n\nUsa logaritmos: ln f = (ln x)², luego diferencia."
Cálculo Diferencial e Integral,Derivadas,Diferenciación logarítmica,Avanzado,Sea f(x) = (x+1)^(x+2)·(x+3)^(x+4).\nCalcula f'(0).\n\nAplica diferenciación logarítmica y evalúa en x=0.
Cálculo Diferencial e Integral,Derivadas,Derivadas de orden superior,Parcial,"Calcula la derivada n-ésima de:\n  f(x) = e^(2x)·sin(x)\n\nHint: busca el patrón en f', f'', f''' y usa la fórmula general con amplitud r y ángulo φ."
Cálculo Diferencial e Integral,Derivadas,Derivadas de orden superior,Final,"Encuentra f^(n)(x) para:\n  f(x) = 1 / (1 - x)\n\nPrimero calcula f', f'', f''' y deduce la fórmula para f^(n)(x). Verifica por inducción."
Cálculo Diferencial e Integral,Derivadas,Derivadas de orden superior,Avanzado,"Usa la fórmula de Leibniz para la derivada n-ésima de un producto:\n  (fg)^(n) = Σ C(n,k) f^(k) g^(n-k)\n\nPara calcular la derivada 10ª de f(x) = x²·e^x. Expresa en forma cerrada."
Cálculo Diferencial e Integral,Derivadas,Teorema del valor medio,Parcial,"Verifica el Teorema del Valor Medio para:\n  f(x) = x³ - x   en   [0, 2]\n\nEncuentra todos los valores c que satisfacen la conclusión del teorema."
Cálculo Diferencial e Integral,Derivadas,Teorema del valor medio,Final,"Usa el TVM para demostrar que:\n  |sin a - sin b| ≤ |a - b|   para todo a, b ∈ ℝ\n\nAplica el TVM a f(x) = sin x en el intervalo [a, b] (o [b, a])."
Cálculo Diferencial e Integral,Derivadas,Teorema del valor medio,Avanzado,"Demuestra la desigualdad usando el TVM:\n  (b - a) / b < ln(b/a) < (b - a) / a   para 0 < a < b\n\nAplica el TVM a f(x) = ln x en [a, b]."
Cálculo Diferencial e Integral,Integrales,Sustitución trigonométrica avanzada,Final,"Evalúa:\n  ∫ dx / [(x² + 2x + 5)²]\n\nCompleta el cuadrado, aplica sustitución trigonométrica x+1 = 2 tan θ."
Cálculo Diferencial e Integral,Integrales,Sustitución trigonométrica avanzada,Avanzado,"Calcula:\n  ∫₀^(√3/2)  arcsin(x) dx\n\nUsa integración por partes con u = arcsin x, dv = dx y evalúa la integral resultante."
Cálculo Diferencial e Integral,Integrales,Integrales de funciones racionales,Parcial,Evalúa mediante fracciones parciales:\n  ∫ (x + 4) / (x² - x - 2) dx\n\nFactoriza el denominador primero.
Cálculo Diferencial e Integral,Integrales,Integrales de funciones racionales,Final,"Calcula:\n  ∫ (2x³ - x + 3) / (x² + 1)² dx\n\nDivide el polinomio impropio primero, luego descompón en fracciones parciales."
Cálculo Diferencial e Integral,Integrales,Integrales de funciones racionales,Avanzado,Evalúa la integral con raíz mediante sustitución de Euler:\n  ∫ dx / (x + √(x² - x + 1))\n\nUsa la sustitución √(x² - x + 1) = tx - 1 (sustitución de Euler tipo 3).
Cálculo Diferencial e Integral,Integrales,Área y volúmenes de revolución,Parcial,"Calcula el área encerrada por:\n  y = x²   e   y = 2x + 3\n\nEncuentra las intersecciones, determina cuál curva está arriba y evalúa."
Cálculo Diferencial e Integral,Integrales,Área y volúmenes de revolución,Parcial,"Usando el método de discos, calcula el volumen generado al girar alrededor del eje x la región acotada por:\n  y = √x,   y = 0,   x = 4"
Cálculo Diferencial e Integral,Integrales,Área y volúmenes de revolución,Final,Calcula el volumen usando el método de cascarones cilíndricos (shells):\n  La región entre y = x² y y = x al girar alrededor del eje y.\n\nCompara con el resultado usando discos. ¿Son iguales?
Cálculo Diferencial e Integral,Integrales,Área y volúmenes de revolución,Final,Encuentra el volumen del sólido generado al girar alrededor de la recta x = 3\nla región acotada por:\n  x = y²   e   x = 1\n\nUsa cascarones cilíndricos con variable y.
Cálculo Diferencial e Integral,Integrales,Área y volúmenes de revolución,Avanzado,"El perfil de una botella de vidrio se modela con:\n  r(x) = 1 + 0.5·sin(πx/10)   cm,   0 ≤ x ≤ 10\n\na) Calcula el volumen interior.\nb) Calcula la superficie lateral exterior.\nc) Estima numéricamente si las integrales no tienen forma cerrada."
Física General,Cinemática avanzada,Movimiento circular y curvilíneo,Parcial,Un automóvil recorre una curva circular de radio R = 120 m a velocidad constante v = 20 m/s.\na) Calcula la aceleración centrípeta.\nb) ¿Cuánto tiempo tarda en dar una vuelta completa?\nc) Calcula la velocidad angular ω.
Física General,Cinemática avanzada,Movimiento circular y curvilíneo,Final,"Una partícula se mueve con posición r(t) = (3t², 4t³ - t, 2t) m.\na) Velocidad y aceleración en t = 1 s.\nb) Rapidez en t = 1 s.\nc) Componente tangencial y normal de la aceleración en t = 1 s."
Física General,Cinemática avanzada,Movimiento circular y curvilíneo,Final,"Un disco gira con aceleración angular constante α = 2 rad/s².\nParte del reposo.\na) ¿Con qué velocidad angular gira después de 5 s?\nb) ¿Cuántas vueltas da en esos 5 s?\nc) Si R = 0.3 m, calcula la aceleración total de un punto en el borde a t = 5 s."
Física General,Cinemática avanzada,Movimiento circular y curvilíneo,Avanzado,"Una partícula se mueve en una espiral con r(t) = e^(-t)(cos t, sin t, t).\na) Calcula |v(t)| y |a(t)|.\nb) Encuentra el ángulo entre v y a en t = 0.\nc) Calcula la longitud de arco recorrida de t=0 a t=2π."
Física General,Cinemática avanzada,Movimiento de proyectiles — análisis completo,Parcial,Un balón se lanza con v₀ = 25 m/s a θ = 40° sobre la horizontal.\na) Altura máxima.\nb) Alcance horizontal.\nc) Tiempo total de vuelo.\nd) Velocidad al impactar el suelo.
Física General,Cinemática avanzada,Movimiento de proyectiles — análisis completo,Final,Se lanza un proyectil desde lo alto de un edificio de 45 m con v₀ = 18 m/s horizontal.\na) ¿En qué tiempo choca con el suelo?\nb) ¿A qué distancia horizontal del edificio?\nc) Velocidad y dirección al impactar.\nd) ¿Cuál sería la velocidad mínima de lanzamiento para superar una pared de 10 m a 30 m de distancia?
Física General,Cinemática avanzada,Movimiento de proyectiles — análisis completo,Avanzado,Un cañón en la cima de un acantilado de h = 80 m sobre el nivel del mar dispara con v₀ = 120 m/s a un ángulo θ sobre la horizontal (puede ser positivo o negativo).\na) Encuentra el ángulo θ que maximiza el alcance horizontal.\nb) Calcula ese alcance máximo.\nc) ¿Para qué ángulo θ el proyectil impacta exactamente en la base del acantilado?
